Link to gab,Sentiment Score
https://gab.com/AllSides/posts/104521244761423982,0.049999999999999996
https://gab.com/GrrrGraphics/posts/104512555545480970,0.032196969696969696
https://gab.com/AllSides/posts/104441736779335822,0.01948051948051948
https://gab.com/SuperMonkeyNews/posts/104023551033212976,-0.019444444444444448
https://gab.com/bffy/posts/103953353013670086,0.0
https://gab.com/global_brand/posts/103889462528221504,0.0
https://gab.com/Tazbitter/posts/103880491745765773,-0.11666666666666665
https://gab.com/Tazbitter/posts/103854472495120701,0.0
https://gab.com/Spiritbewithyou/posts/103843141073812927,0.0
https://gab.com/Spiritbewithyou/posts/103843138473977454,0.0
https://gab.com/Spiritbewithyou/posts/103843137129836282,0.0
https://gab.com/Spiritbewithyou/posts/103843135930759522,0.0
https://gab.com/Spiritbewithyou/posts/103843134763625538,0.0
https://gab.com/Spiritbewithyou/posts/103843133372869033,0.0
https://gab.com/Spiritbewithyou/posts/103843132356441636,0.0
https://gab.com/Spiritbewithyou/posts/103843131356586989,0.0
https://gab.com/global_brand/posts/103842746559247130,0.0
